Company Name,Category,Subcategory,Overall Grade,Claimed Renewable Energy Ratio,Summary (<100 words),Connections
Apple,Consumer Electronics Brand,,B,100%,"Apple is a clear leader, and it is the only company to have set goals that are both ambitious and near-term for emissions reductions and renewable energy in both its own operations and its supply chain. Through significant renewable energy investments, PPAs, and high impact utility partnerships  Apple has locally matched the electricity demand of its own operations with 100% renewable energy. Through its Supplier Clean Energy Program, Apple reports adding nearly 16 GW of new renewable energy in its supply chain, showing the key role that ambitious RE targets and direct financial support play in manufacturing regions’ energy transitions. Apple has also been using its influence to push governments to increase the deployment of renewable energy in its supply chain.

","SK Hynix, Samsung Electronics, TSMC, Intel, Kioxia, LG Display, Samsung Display, BOE, Sharp, Japan Display, Luxshare Precision, Goertek, Hon Hai, Pegatron"
Google,Consumer Electronics Brand,,C-,100%,"Google scored highly within its own operations, emerging as a leader in renewable energy with its pledge to run on 24/7 carbon free energy by 2030 -- an important step to grow local renewable energy and storage capacity. However, Google has yet to include its supply chain in its 100% renewable energy target, making sufficient scope 3 emissions reductions more difficult and less likely to be achieved. Meaningful engagement has led to a high proportion of suppliers reporting emissions data and setting emissions reductions targets, but a lack of supply chain transparency makes it unclear what impact that engagement is having on energy use.

","SK Hynix, Samsung Electronics, Intel, Luxshare Precision, Goertek, Hon Hai"
Microsoft,Consumer Electronics Brand,,C-,100%,"Microsoft was one of the top performers within its own operations, with an ambitious 24/7 renewable energy target, but still lags behind competitors Apple and Google in sourcing its renewable energy using high impact PPAs or onsite power generation. However, although Microsoft has set a meaningful scope 3 emissions reduction target, it has yet to set a renewable energy target for its supply chain to drive that reduction.  Microsoft has one of the greatest disparities between its operations grade and its supply chain management grade, reflecting a lack of supply chain transparency and a failure to disclose the levels of renewable energy in its supply chain. To drive scope 3 emissions reductions and help promote the energy transition, Microsoft should set a 100% supply chain renewable energy goal and require that suppliers set their own renewable energy targets, ensuring that energy is local and additional to the grid.","SK Hynix, Samsung Electronics, TSMC, Intel, Kioxia, LG Display, Sharp, Luxshare Precision, Goertek, Hon Hai, Pegatron
"
HP,Consumer Electronics Brand,,C-,54%,"HP has set ambitious absolute emissions reductions targets across its value chain, with emissions targets close to a 1.5 C-aligned pathway.  HP’s 2025 renewable energy target for its own operations sends a strong message. However, the brand’s current renewable energy ratio relies heavily on RECs rather than high-impact sourcing. For the 2025 target to be impactful, the company needs to focus on sourcing renewable energy that is local and additional to the grid.  

In its supply chain, HP was the only brand to disclose data on the energy and renewable energy ratio of its suppliers. HP engages its suppliers specifically on renewable energy and incentivizes action by tying procurement decisions to sustainability, resulting in a high proportion of suppliers with renewable energy commitments. HP has also been active within the US on climate advocacy, supporting the Inflation Reduction Act as part of the Clean Energy Buyers Association, and jointly urging congressional leadership on clean energy and climate action.","SK Hynix, Samsung Electronics, TSMC, Intel, Kioxia, LG Display, BOE, Luxshare Precision, Goertek, Hon Hai, Pegatron"
Amazon,Consumer Electronics Brand,,D-,85%,"Amazon’s current supply chain commitments and actions are not commensurate with the urgency of the moment or the scale of its climate impact. Amazon’s net-zero target, set for 2040, is too late to be aligned with a 1.5 C scenario and lacks the essential pathway of an absolute emissions reduction target. Amazon does have a timely goal for 100% renewable energy in its own operations, and does report signing significant numbers of high-impact sourcing deals, but should go a step further and commit to 24/7 carbon-free energy to match its competitors’ level of ambition. The company has not set a goal for renewable energy in its supply chain, and does not appear to engage actively with its suppliers on target setting or procurement. Amazon scores poorly on transparency for both its own emissions and its supply chain’s emissions, energy data, and electricity data, sharing only limited data online and failing to make CDP reports publicly available. 

","TSMC, SK Hynix, Intel, Sharp, Luxshare Precision, Hon Hai"
Sony,Consumer Electronics Brand,,F,14.6%,"Sony has moved its net zero target for its own operations forward by ten years to 2030, and for its supply chain from 2050 to 2040, but its commitments still fail to meet the scale of the climate emergency. Sony’s scope 3 ambition is still lacking, and its absolute emissions reduction targets are concerningly low, failing to set a clear pathway to meaningful impacts on climate. Sony has set sufficiently near-term renewable energy targets within its own operations, but it is less clear how much of this power will be additional to the grid, and the company still lacks RE targets for its supply chain. While it is positive that Sony is reporting engagement with its suppliers on target setting and reporting, it is clear that significantly greater engagement on clean energy procurement is required to impact supply chain emissions. Sony has taken important steps, however, on renewable energy advocacy as part of the Japan Climate Initiative, calling for greater ambition from the Japanese government to increase availability of clean power.

","Display, Goertek, Hon Hai, Pegatron"
Dell,Consumer Electronics Brand,,F,54%,"Dell is among the lower performing US brands, falling behind competitors HP and Microsoft in its climate commitments and action on renewable energy. Dell’s net-zero target date of 2050 for scope 1, 2, and 3 is too late to be in line with a 1.5 C warming pathway, but it has set a commendable short-term goal of 50% emissions reduction in scope 1 and 2 by 2030. The company needs to back this up with an ambitious scope 3 reduction target along the same time frame. Dell has set a longer-term 100% RE goal for 2040, which it should expedite, and Dell’s current RE ratio of 54% comes primarily from higher-impact sources. However, there is currently no commitment to extend this commitment to the supply chain, or any data on the current energy mix. Dell engages with its suppliers through training and reporting, but it is not discernible that the company requires or supports its suppliers to set RE or emissions targets, or procure renewable energy. Within its own operations, Dell has prioritized improving the recyclability and repairability of products, and the reduction of materials emissions.

","SK Hynix, Samsung Electronics, TSMC, Intel, Kioxia, LG Display, Samsung Display, BOE, Sharp, Luxshare Precision, Goertek, Hon Hai, Pegatron"
Lenovo,Consumer Electronics Brand,,F,75%,"For its own operations, Lenovo aims to reduce emissions 50% by 2029, but its net zero emissions target of 2050 is too distant, and does not include its supply chain emissions. The company does not have meaningful targets for either renewable energy or greenhouse gas emissions for its supply chain, and does not provide any financial support to increase renewable energy capacity. While Lenovo does utilize 75% of renewable energy for its own operations, it is not adding meaningful renewable energy capacity to the grid, and instead sources renewable energy through low-impact contracts. Lenovo also falls behind its competitors in advocacy for more strategic widespread climate change mitigation. 

","SK Hynix, Samsung Electronics, Intel, LG Display, BOE, Sharp"
LG Electronics,Consumer Electronics Brand,,F,4.6%,"LG has set a competitive target of carbon neutrality by 2030, including a 50% absolute emissions target, significantly ahead of its competitor Samsung. However, LG falls behind competitors in supply chain decarbonization, with no absolute reduction targets for its supply chain. With a 100% renewable energy target by 2050 and only 1.3% renewable energy usage, LG is lagging on renewable energy in its own operations and has no target to increase renewables in its supply chain. LG provides minimal support in its supply chain to add renewable energy capacity and reduce greenhouse gas emissions. 

","SK Hynix, Samsung Electronics, Intel, LG Display, BOE"
Samsung Electronics,Consumer Electronics Brand,Semiconductor,F,20.5%,"Samsung’s recent commitment to power its operations with 100% renewable energy and achieve net zero is a step forward. However, the target date of 2050 is far too late, leaving Samsung lagging decades behind competitors including Microsoft, Google, and Apple. Samsung also relies heavily on RECs to achieve its current renewable energy ratio of 20.48%, while Google and Apple have committed to sourcing renewable energy that is local and additional to the grid. Samsung engages with its suppliers to promote reporting, but unlike HP it does not require suppliers to set emissions reductions targets or actively promote renewable energy by tying procurement decisions to environmental standards. Despite its prominent place among South Korean companies, Samsung does not apply significant advocacy pressure to advance renewable energy or climate goals.

","SK Hynix, Intel, BOE, Sharp, Goertek"
Intel,Manufacturing Supplier,Semiconductor,C+,80%,"Intel has committed to net-zero emissions by 2040 with an interim goal for its suppliers. It also committed to 100% renewable energy use in its own operations by 2030. Intel has made efforts both in energy efficiency and procurement of renewables, with a higher ratio of renewable energy than any other company. The impact of its renewable energy purchase, however, remains unclear, with a large portion coming from REC trade.","Dell, HP, Lenovo, LG Electronics, Microsoft, Google, Apple, Amazon, Samsung Electronics"
TSMC,Manufacturing Supplier,Semiconductor,C-,9%,"TSMC has committed to achieve net zero and 100% renewable energy by 2050. Despite efforts to purchase renewable energy through PPAs around the world, the company’s renewable ratio remains low. TSMC operates large, electricity-intensive chip plants and only uses limited renewable energy sources in the region. TSMC should use its industry leadership position to invest in and build out more renewable energy sources in the region.","Apple, Microsoft, Amazon, Dell, HP"
Samsung Electronics,Manufacturing Supplier,Semiconductor,D+,20%,"Samsung committed to carbon neutrality and 100% renewable energy by 2050. As an industry leader Samsung Electronics has made little effort to set up ambitious commitments on emissions reduction or 100% renewable energy adoption. Despite efforts in energy efficiency and data disclosure, Samsung Electronics has not actively advocated for renewable energy-related policy in South Korea. Samsung did achieve 100% renewable energy targets in China, Europe and US sites, but the majority of this renewable energy was purchased through low-impact REC trade. ","Apple, Microsoft, Dell, Lenovo, LG Electronics, Google, HP"
LG Display,Manufacturing Supplier,Display Manufacturing,D,11%,LG Display has been using its voice in the Korean Display Industry Association to demand more renewable energy-friendly policies. LG Display has not committed to any emissions or renewable energy targets.,"Apple, Microsoft, Dell, HP, Lenovo, Sony, LG Electronics "
Samsung Display,Manufacturing Supplier,Display Manufacturing,D,5%,"Samsung Display has not made any commitments on emissions reduction or 100% renewable energy use in either its operations or in the supply chain. Samsung Display has adopted renewable energy and improved energy efficiency to reduce emissions. The company has procured renewables through RECs, green premium, and self-generation. But its current RE ratio remains low. Samsung Display has engaged with policy makers regarding renewable energy sourcing in South Korea.","Apple, Dell "
Hon Hai,Manufacturing Supplier,Final Assembly,D+,5%,"Hon Hai has committed  net zero emissions for its own operations by 2050 and requires its suppliers to set up the same targets. Hon Hai has no 100% renewable energy target, and currently has a low renewable energy ratio. Hon Hai has not been actively engaging with policy makers regarding emissions reductions and renewable energy procurement. ","Apple, Microsoft, HP, Dell, Amazon, Sony, Google"
Kioxia,Manufacturing Supplier,Semiconductor,D,<1%,"Kioxia has committed to 100% renewable energy in its operations by 2040. But currently, Kioxia’s renewable energy use ratio remains low and sourcing methods remain limited.","Apple, Dell, HP, Microsoft"
Luxshare Precision,Manufacturing Supplier,Final Assembly,D+,13%,"Luxshare Precision has committed to carbon neutrality in its own operations by 2050. There is no 100% renewable energy target. Luxshare’s efforts to procure renewable energy include self-generation, investment, PPAs, and local REC trade. Scope 3 emissions disclosure and public support for policy changes are lacking.","Apple, Microsoft, HP, Dell, Amazon, Google"
SK Hynix,Manufacturing Supplier,Semiconductor,D,4.1%,"SK Hynix’s commitments are overall very limited, despite commitments to achieve net-zero and 100% renewable energy use by 2050. SK Hynix has made efforts to improve energy efficiency but has performed poorly in renewable energy procurement and still has a low RE ratio. The company has not advocated for emission reduction or renewable energy-related policies.","Apple, Microsoft, Dell, HP, Amazon, LG Electronics, Google, Lenovo, Sony, Samsung Electronics"
Sharp,Manufacturing Supplier,Display Manufacturing,D,<1%,"Sharp pledged to achieve carbon neutrality by 2050 in its operations, but a 100% renewable energy target is still lacking. Although Sharp claimed that It has procured renewable energy mainly through methods with higher additionality such as PPAs but the total consumption of renewables remains small. Policy advocacy efforts are needed from the company.","Apple, Dell, Lenovo, Microsoft, Amazon, Samsung Electronics"
